datetime,grdpiece
2020-12-17 12:27:29,6.4
2020-12-17 12:42:29,6.4
2020-12-17 12:57:29,6.4
2020-12-17 13:12:29,6.4
2020-12-17 13:27:29,6.4
2020-12-17 13:42:29,6.4
2020-12-17 13:57:29,6.4
2020-12-17 14:12:29,6.4
2020-12-17 14:27:29,6.4
2020-12-17 14:42:29,6.4
2020-12-17 14:57:29,6.4
2020-12-17 15:12:29,6.5
2020-12-17 15:27:29,6.5
2020-12-17 15:42:29,6.5
2020-12-17 15:57:29,6.5
2020-12-17 16:12:29,6.5
2020-12-17 16:27:29,6.5
2020-12-17 16:42:29,6.5
2020-12-17 16:57:29,6.5
2020-12-17 17:12:29,6.5
2020-12-17 17:27:29,6.6
2020-12-17 17:42:29,6.6
2020-12-17 17:57:29,6.6
2020-12-17 18:12:29,6.6
2020-12-17 18:27:29,6.6
2020-12-17 18:42:29,6.6
2020-12-17 18:57:29,6.6
2020-12-17 19:12:29,6.6
2020-12-17 19:27:29,6.6
2020-12-17 19:42:29,6.6
2020-12-17 19:57:29,6.6
2020-12-17 20:12:29,6.6
2020-12-17 20:27:29,6.6
2020-12-17 20:42:29,6.6
2020-12-17 20:57:29,6.6
2020-12-17 21:12:29,6.6
2020-12-17 21:27:29,6.6
2020-12-17 21:42:29,6.6
2020-12-17 21:57:29,6.6
2020-12-17 22:12:29,6.6
2020-12-17 22:27:29,6.6
2020-12-17 22:42:29,6.6
2020-12-17 22:57:29,6.6
2020-12-17 23:12:29,6.6
2020-12-17 23:27:29,6.7
2020-12-17 23:42:29,6.7
2020-12-17 23:57:29,6.7
2020-12-18 00:12:29,6.6
2020-12-18 00:27:29,6.6
2020-12-18 00:42:29,6.7
2020-12-18 00:57:29,6.6
2020-12-18 01:12:29,6.6
2020-12-18 01:27:29,6.6
2020-12-18 01:42:29,6.6
2020-12-18 01:57:29,6.6
2020-12-18 02:12:29,6.6
2020-12-18 02:27:29,6.6
2020-12-18 02:42:29,6.6
2020-12-18 02:57:29,6.6
2020-12-18 03:12:29,6.6
2020-12-18 03:27:29,6.6
2020-12-18 03:42:29,6.6
2020-12-18 03:57:29,6.6
2020-12-18 04:12:29,6.6
2020-12-18 04:27:29,6.7
2020-12-18 04:42:29,6.6
2020-12-18 04:57:29,6.7
2020-12-18 05:12:29,6.6
2020-12-18 05:27:29,6.6
2020-12-18 05:42:29,6.7
2020-12-18 05:57:29,6.6
2020-12-18 06:12:29,6.6
2020-12-18 06:27:29,6.6
2020-12-18 06:42:29,6.7
2020-12-18 06:57:29,6.7
2020-12-18 07:12:29,6.7
2020-12-18 07:27:29,6.7
2020-12-18 07:42:29,6.7
2020-12-18 07:57:29,6.7
2020-12-18 08:12:29,6.7
2020-12-18 08:27:29,6.7
2020-12-18 08:42:29,6.7
2020-12-18 08:57:29,6.7
2020-12-18 09:12:29,6.7
2020-12-18 09:27:29,6.7
2020-12-18 09:42:29,6.7
2020-12-18 09:57:29,6.7
2020-12-18 10:12:29,6.7
2020-12-18 10:27:29,6.7
2020-12-18 10:42:29,6.7
2020-12-18 10:57:29,6.7
2020-12-18 11:12:29,6.7
2020-12-18 11:27:29,6.7
2020-12-18 11:42:29,6.7
2020-12-18 11:57:29,6.7
2020-12-18 12:12:29,6.7
2020-12-18 12:27:29,6.7
2020-12-18 12:42:29,6.7
2020-12-18 12:57:29,6.7
2020-12-18 13:12:29,6.7
2020-12-18 13:27:29,6.7
2020-12-18 13:42:29,6.7
2020-12-18 13:57:29,6.7
2020-12-18 14:12:29,6.8
2020-12-18 14:27:29,6.8
2020-12-18 14:42:29,6.8
2020-12-18 14:57:29,6.8
